sentiment_hq,statement
0.9635444,fast coffee
0.647400439,cleaning my hands after i gut a deer
0.9853833909999999,"My dad brewed beer at home, so it reminds me of him."
0.8110576270000001,their physical attributes/condition
0.937761128,"I have never tried it personally, but I think that it is a very neat way of monitoring your baby."
0.747563958,the wide variety of products
0.95474875,Fresh beef stripes and what kind of beef stripes
0.7568346859999999,more knowledge
0.8914340140000001,Storing dry goods.
0.823870003,Join them for cheap car insurance
0.490302831,cover cat food can
0.981747985,Interesting things to do with kids in Orem. Fun facts about what we have around town.
0.066101834,damage to existing fencing
0.9780701999999999,Waking up and enjoying a fresh hot cup of coffee on a sunny morning.
0.790081739,Real meat
0.30020228,"Generally, I just hate apple."
0.992962837,Good Quality
0.983069778,A good buy
0.992398977,It is high quality.
0.695854724,Miles
0.35357973,"the cost, the penalties ok all of it what we have is not working. shorten the required inpatient day"
0.9772841329999999,good stuffing
0.996308029,"Very simple, clean, and sleek."
0.917481065,Mandatory insurance taxes for having Cadillac plans insurance companies accords state lines
0.624591172,Change
0.924342036,fast service
0.816325605,building
0.330741555,never heard of the brand
0.6766071920000001,Because of the rewards that are offered
0.813314557,Reliability means having tires that will consistently provide optimal performance no matter the terr
0.8073579670000001,More variety in breakfast sandwiches
0.9068825840000001,It sounds fun
0.9600707890000001,I research new and intriguing topics
0.6905059809999999,Starter guide
0.411970675,I want to make sure someone isn't just a salesmen
0.183794603,I don't need disney characters
0.14524138,Fewer collaboration with ACOs
0.24914619300000002,no denials for pre-existing conditions
0.9857035279999999,It is customized to suit my specific need and wants. It also seems to work very quickly
0.9735628959999999,Nice packaging
0.25402647300000003,Treat the healthcare employees better.
0.977907002,a good way to portion out the snack
0.708614767,"It is customized,"
0.21475198899999998,less crime and violence
0.991033554,healthier choice
0.611007333,Accountable Care Organizations
0.0054771080000000005,I would not buy from this retailer again
0.13199223599999999,The person who helps me will not pressure me to buy.
0.751821339,The service was good
0.631789148,When the person knows what to do
0.599289715,the drive app can judge how safely you drive
0.981181264,Fit and in good health
0.69931829,I wonder what promotions they're doing for the holidays
0.636715651,Chocolate cranberry
0.04685586,DONT OVER PAY
0.235744759,"It mentioned the diet the chickens were fed, and that it was non-GMO"
0.9526430370000001,looking good
