id_all,question,statement1,statement2,new_label,resolution,percent
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+22d2c5c2-a570-4ed3-a939-48595965d3f0+a2e6a1b3-90b7-48bf-9391-92faf270d9f3,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",Ready. Armed. Brave,armed forces streghtens us.,,0,0.777777778
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+26b2a8bc-8f14-44de-b758-49cd8872d516+9f2acf66-9261-4ef2-921e-7d035c13edb3,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",we are stronger together.,"Pride, that my country is working with its allies to protect us.",,0,0.8
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+26b2a8bc-8f14-44de-b758-49cd8872d516+b086870f-5c36-424d-9790-cd205a7a2e9a,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",we are stronger together.,Together we can keep the peace,,0,0.777777778
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+4136bb9f-f1bd-47b1-a424-075d88aa8196+b74ddf1d-9467-4727-b087-d9421c52285d,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",support the army,The army is more strongly needed than ever because of global threats.,,0,0.769230769
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+8ebb4160-70b3-4147-a08b-8339e1e068f6+b086870f-5c36-424d-9790-cd205a7a2e9a,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",NATO IS ESSENTIAL FOR PEACE,Together we can keep the peace,,0,0.777777778
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+c80b60d1-3a04-4366-9533-3902d9970dab+3d2688d8-2151-43d8-a7d8-d4c27c0d305d,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",it takes more than 1 country to make up nato,Nato is a joint venture with teamwork required.,,0,0.833333333
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+c80b60d1-3a04-4366-9533-3902d9970dab+7d05cb05-f008-4ef3-b1ab-d9abeeef09de,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",it takes more than 1 country to make up nato,Nato is a team of 29 countries,,0,0.777777778
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+c80b60d1-3a04-4366-9533-3902d9970dab+e74b0b74-20d6-4582-9e24-d4795c94f1fa,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",it takes more than 1 country to make up nato,NATO is very important. Working together with other countries is very important.,,0,0.833333333
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+e74b0b74-20d6-4582-9e24-d4795c94f1fa+3d2688d8-2151-43d8-a7d8-d4c27c0d305d,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",NATO is very important. Working together with other countries is very important.,Nato is a joint venture with teamwork required.,,0,0.818181818
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+e74b0b74-20d6-4582-9e24-d4795c94f1fa+7d05cb05-f008-4ef3-b1ab-d9abeeef09de,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",NATO is very important. Working together with other countries is very important.,Nato is a team of 29 countries,,0,0.8
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+3def2f83-e53d-45c6-955a-45d2b388da46+2e39dc75-9351-4154-891c-f74822ad5ac1,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",I think the idea was that members of NATO support one another,NATO works as an alliance of countries,,0,0.818181818
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+3def2f83-e53d-45c6-955a-45d2b388da46+78bfe1ef-c02e-4481-bf99-544120eb0cae,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",I think the idea was that members of NATO support one another,NATO plays an essential role in maintaining peace and security in the western world,,0,0.8125
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+3eef8c6d-fa01-4726-93fe-2e027d9a72be+3d2c7a12-459b-44d0-aa5c-e4a7d87a769c,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",The navy works around the world to keep us safe,The Canadian Navy is training with its NATO allies.,,0,0.846153846
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+3eef8c6d-fa01-4726-93fe-2e027d9a72be+dbc5a166-650b-437b-b7ae-dff803dc1817,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",The navy works around the world to keep us safe,Royal Canadian Navy is training with Nato Allies to keep Canadian seas safe,,0,0.833333333
