id_all,question,statement1,statement2,resolution,percent
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+2bdd0fbc-a884-412c-9692-2fbdc779c204+c5219084-61f3-402e-8f79-6f8823deb150,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",proud that our country is helping others,It makes me proud of my countries military.,0,0.7142857142857143
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+2bdd0fbc-a884-412c-9692-2fbdc779c204+d35b48ce-3697-4c7c-b264-f4e00bec8c7f,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",proud that our country is helping others,I am very proud that my country is a NATO member.,0,0.7142857142857143
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+3d2688d8-2151-43d8-a7d8-d4c27c0d305d+38508bda-a39f-49ba-89ff-d780c2e569cf,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",Nato is a joint venture with teamwork required.,Canadian navy is part of NATO,0,0.7
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+3d2688d8-2151-43d8-a7d8-d4c27c0d305d+d35b48ce-3697-4c7c-b264-f4e00bec8c7f,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",Nato is a joint venture with teamwork required.,I am very proud that my country is a NATO member.,0,0.7142857142857143
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+4ed386a2-819d-421b-9df3-1486d57b6272+c5219084-61f3-402e-8f79-6f8823deb150,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",Proud to be Canadian,It makes me proud of my countries military.,0,0.7
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+6127ecf2-1525-4d54-9fa3-d5f3b83cc335+8850d62c-204d-40ce-94ea-ddad2d2933fa,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",Inspired,i was inspired by this,0,0.7142857142857143
014f05de-2273-5da6-4207-29af47a1cdc6+17eeb171-098b-42d2-91b4-f8edd6598809+e3d55f93-6c67-4082-b49f-410c53896bc3+d35b48ce-3697-4c7c-b264-f4e00bec8c7f,"Thinking again about what you just saw, what thoughts, reactions, feelings and emotions did it evoke in you? Please be detailed and specific.",It made me wonder if Canada really needs to be a part of NATO?,I am very proud that my country is a NATO member.,0,0.7142857142857143
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+37f58cf1-8a97-4d79-afd9-b24874723e96+3d2c7a12-459b-44d0-aa5c-e4a7d87a769c,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Navy is alligned with NATO,The Canadian Navy is training with its NATO allies.,0,0.7142857142857143
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+3b0112f0-3fb7-45d7-b176-26d32e6d36e3+9ff03578-4c55-4068-a922-f99e4bae4aae,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Together,We are stronger together,0,0.7
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+453bd479-f312-43f4-9524-22a6fdabf463+f3413d15-fe34-4916-a3d3-2a344f0f9e67,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Military operations,Military alliance with other counties,0,0.7142857142857143
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+57d6c2d1-a495-4243-b746-c81fa3cfebf4+dbc5a166-650b-437b-b7ae-dff803dc1817,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",We need to maintain a navy,Royal Canadian Navy is training with Nato Allies to keep Canadian seas safe,0,0.7142857142857143
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+744d6dc0-7b38-4069-8959-46772ecf412b+b32d620d-9a4b-4a2a-b70e-5015f7ca2909,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",NATO is necessary to prevent conflict!,28 countries work together to keep the peace.,0,0.7333333333333333
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+77e03a77-e749-475b-906d-7817630d2757+61c8edb7-f071-45ae-9fd8-b59ceaba6a0a,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",NATO uses military personnel from member countries in its mission,Nato is often involved in military conflicts.,0,0.7142857142857143
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+92ac303f-5753-4e41-adee-2e6f5b70c6fd+2e39dc75-9351-4154-891c-f74822ad5ac1,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",That Canada is actually really involved with NATO,NATO works as an alliance of countries,0,0.7142857142857143
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+92ac303f-5753-4e41-adee-2e6f5b70c6fd+77e03a77-e749-475b-906d-7817630d2757,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",That Canada is actually really involved with NATO,NATO uses military personnel from member countries in its mission,0,0.7272727272727273
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+92ac303f-5753-4e41-adee-2e6f5b70c6fd+ac8057f0-d078-4d9d-89bf-4009bee6d476,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",That Canada is actually really involved with NATO,"The message is that NATO helps keep Canada safe, that we are a key part of the alliance",0,0.7272727272727273
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+92ac303f-5753-4e41-adee-2e6f5b70c6fd+dbc5a166-650b-437b-b7ae-dff803dc1817,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",That Canada is actually really involved with NATO,Royal Canadian Navy is training with Nato Allies to keep Canadian seas safe,0,0.7142857142857143
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+92ac303f-5753-4e41-adee-2e6f5b70c6fd+e5d3fb6a-7aae-4d59-86c8-ffbb03c8ebf9,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",That Canada is actually really involved with NATO,"""We are NATO""",0,0.7307692307692307
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+a18002ea-749d-4ecf-8f10-379df1545dcd+dbc5a166-650b-437b-b7ae-dff803dc1817,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Allied forces,Royal Canadian Navy is training with Nato Allies to keep Canadian seas safe,0,0.7
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+ac8057f0-d078-4d9d-89bf-4009bee6d476+dbc5a166-650b-437b-b7ae-dff803dc1817,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.","The message is that NATO helps keep Canada safe, that we are a key part of the alliance",Royal Canadian Navy is training with Nato Allies to keep Canadian seas safe,0,0.7272727272727273
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+b32d620d-9a4b-4a2a-b70e-5015f7ca2909+2e39dc75-9351-4154-891c-f74822ad5ac1,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",28 countries work together to keep the peace.,NATO works as an alliance of countries,0,0.7142857142857143
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+b32d620d-9a4b-4a2a-b70e-5015f7ca2909+72ff9034-4e31-4103-911f-9d6030de9f09,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",28 countries work together to keep the peace.,Armies of different countries working together,0,0.7
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+fc457e08-7cc9-46ba-a1a9-1d0121806b1d+156959c6-9259-473e-9eef-b98a359f5f94,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Alliances are good,Countries working together we can accomplish what seems impossible at first glance,0,0.7241379310344828
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+fc457e08-7cc9-46ba-a1a9-1d0121806b1d+744d6dc0-7b38-4069-8959-46772ecf412b,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Alliances are good,NATO is necessary to prevent conflict!,0,0.7142857142857143
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+fc457e08-7cc9-46ba-a1a9-1d0121806b1d+b32d620d-9a4b-4a2a-b70e-5015f7ca2909,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Alliances are good,28 countries work together to keep the peace.,0,0.7
01fadb53-5c22-2f2c-8465-a1b81de74dc3+2d3221e1-cd21-4e3b-8f7f-439488365fea+d8729197-49cd-421a-b63d-6ce5e8a1e136+4d12ffa1-8fb4-46eb-b639-f1ed89327b06,You selected {{firmName}} as one of your analyst firms. Why did you give a low value ranking for that firm?,research quality,research,0,0.75
01fadb53-5c22-2f2c-8465-a1b81de74dc3+e4df0e3f-fb9e-4295-bafe-befe6d7a2134+7add726d-8480-4680-a848-28d1bd0d77a5+f1266db2-581b-43a2-9e10-d577b3f24a7c,Imagine you are looking for an analyst firm. What offerings are most important to you?,Quality of the research,Research,0,0.7142857142857143
01fadb53-5c22-2f2c-8465-a1b81de74dc3+e4df0e3f-fb9e-4295-bafe-befe6d7a2134+c4471606-6955-4478-8265-57c16bf2ff2e+cb35d2b5-3b20-4b05-93f4-dac0957d7fae,Imagine you are looking for an analyst firm. What offerings are most important to you?,analyst mindhsare,Analyst access,0,0.7142857142857143
01fadb53-5c22-2f2c-8465-a1b81de74dc3+e4df0e3f-fb9e-4295-bafe-befe6d7a2134+f3f93d89-2b5a-421c-aa87-4a73a251d97a+78b46cd0-c8db-4b71-ae6a-f1371b820d45,Imagine you are looking for an analyst firm. What offerings are most important to you?,Relevant expertise,Expertise,0,0.7142857142857143
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+254a52b2-77f2-4746-8dd2-44a62307e994+d34adfb0-259f-401f-bee1-48d0a3d71f41,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,like the color combinations,nice colors,0,0.7272727272727273
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+2a1ec853-82f0-4c7b-bc2b-1149ef6ddc03+07613b19-41fc-4f34-ba89-d0bdad116d4a,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,The choice of color,color,0,0.7142857142857143
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+2a1ec853-82f0-4c7b-bc2b-1149ef6ddc03+fc09ff1c-175b-486d-9490-bdae3de502d1,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,The choice of color,I like the pop of color,0,0.75
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+8e412779-7721-45ca-8b96-8abd4c279a51+c661ddcb-a556-40e8-8c0b-a82e73ee3136,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,The logo itself looks interesting,the logo stands out,0,0.7142857142857143
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+fc09ff1c-175b-486d-9490-bdae3de502d1+e2620613-c21c-4c2c-817e-ef9f913362f7,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,I like the pop of color,The colors,0,0.7142857142857143
0884fc2e-21ec-402b-8c14-bf6c9a507562+ff3c350d-552c-4316-83ae-4cded2050c63+6f6faf1d-d39b-4762-92bf-8933c42d2fa9+c74729b8-d27e-4b67-b500-d61eb593d9cb,We’d now like you to get creative and think about what the most luxurious/premium combination of chocolate coated treat would be for you. Feel free to consider as many flavours/ingredients as you like.,caramel honeycomb,honeycomb caramel,0,0.75
08e43aa0-ebae-e306-8ba8-a015b79fe4f6+1477bf9f-8090-40f0-9e63-b4cf0fd3f59e+184454ab-e0d4-42c1-ae77-9ec4c180c574+dd1e0e19-8b86-4bd2-89a2-f3ea5057b51f,Please tell us about {{selectedCoffeeName}}. Why do you visit specifically this chain of coffee shops? What works for you?,like their coffee,I need coffee,0,0.7142857142857143
08e43aa0-ebae-e306-8ba8-a015b79fe4f6+1477bf9f-8090-40f0-9e63-b4cf0fd3f59e+7a8bdac9-e124-40c2-a09b-420090a774cb+1e2ee5f6-e2f3-4878-b757-4547d3fe6607,Please tell us about {{selectedCoffeeName}}. Why do you visit specifically this chain of coffee shops? What works for you?,I love their lattes,I love their coffee,0,0.7142857142857143
